id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,lokasi,alamat,longitude,latitude,bulan,jumlah_pengguna,satuan,tahun
47,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,NOVEMBER,147,ORANG,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,DESEMBER,92,ORANG,2017
49,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,JANUARI,0,ORANG,2017
50,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,FEBRUARI,0,ORANG,2017
51,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,MARET,27,ORANG,2017
52,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,APRIL,173,ORANG,2017
53,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,MEI,159,ORANG,2017
54,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,JUNI,83,ORANG,2017
55,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,JULI,119,ORANG,2017
56,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,AGUSTUS,47,ORANG,2017
57,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,SEPTEMBER,0,ORANG,2017
58,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,OKTOBER,3,ORANG,2017
59,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,NOVEMBER,81,ORANG,2017
60,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",107.6,-6.9319,DESEMBER,186,ORANG,2017
61,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,JANUARI,0,ORANG,2017
