id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kota_kabupaten;jumlah_penduduk;satuan;tahun
80;32;JAWA BARAT;3278;KOTA TASIKMALAYA;648.178;RIBU ORANG;2012
81;32;JAWA BARAT;3279;KOTA BANJAR;178.728;RIBU ORANG;2012
82;32;JAWA BARAT;3201;KABUPATEN BOGOR;5202.01.00;RIBU ORANG;2013
83;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2408.42.00;RIBU ORANG;2013
84;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2225.31.00;RIBU ORANG;2013
85;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3405.48.00;RIBU ORANG;2013
86;32;JAWA BARAT;3205;KABUPATEN GARUT;2502.41.00;RIBU ORANG;2013
87;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1720.12.00;RIBU ORANG;2013
88;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1155.47.00;RIBU ORANG;2013
89;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1042.79;RIBU ORANG;2013
90;32;JAWA BARAT;3209;KABUPATEN CIREBON;2093.07.00;RIBU ORANG;2013
91;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1170.51.00;RIBU ORANG;2013
92;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1125.12.00;RIBU ORANG;2013
93;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1672.68;RIBU ORANG;2013
94;32;JAWA BARAT;3213;KABUPATEN SUBANG;1496.89;RIBU ORANG;2013
95;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;898.001;RIBU ORANG;2013
96;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2225.38.00;RIBU ORANG;2013
97;32;JAWA BARAT;3216;KABUPATEN BEKASI;3002.11.00;RIBU ORANG;2013
98;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1588.78;RIBU ORANG;2013
99;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;386.129;RIBU ORANG;2013
100;32;JAWA BARAT;3271;KOTA BOGOR;1013.02.00;RIBU ORANG;2013
101;32;JAWA BARAT;3272;KOTA SUKABUMI;311.822;RIBU ORANG;2013
102;32;JAWA BARAT;3273;KOTA BANDUNG;2458.05.00;RIBU ORANG;2013
103;32;JAWA BARAT;3274;KOTA CIREBON;301.728;RIBU ORANG;2013
104;32;JAWA BARAT;3275;KOTA BEKASI;2570.04.00;RIBU ORANG;2013
105;32;JAWA BARAT;3276;KOTA DEPOK;1962.18.00;RIBU ORANG;2013
