id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;nama_lokasi;alamat;satuan;tahun
20;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 08;CIKETING UDIK RW.08;Titik Wifi;2022
21;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;GEDUNG SERBAGUNA RW.09;CIKETING UDIK RW 09;Titik Wifi;2022
22;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POSYANDU DELIMA 6;CIKETING UDIK RW.007;Titik Wifi;2022
23;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POSYANDU DELIMA 4;CIKETING UDIK RW.004;Titik Wifi;2022
24;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POSYANDU DELIMA IX;Jl. AL Barkah RT.002/005;Titik Wifi;2022
25;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POSYANDU DELIMA II;Ciketing Barat RT.002/003;Titik Wifi;2022
26;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;KANTOR KELURAHAN CIKIWUL;Jl. Raya Siliwangi KM.12,5;Titik Wifi;2022
27;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;GEDUNG 3 PILAR KELURAHAN CIKIWUL;JL.RAYA NAROGONG KM.12;Titik Wifi;2022
28;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;TK KARTIKA X-13;JL.YON ARMED;Titik Wifi;2022
29;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POS RONDA RT 03 RW 04;GANG H. SAMIT RT. 03 RW 04;Titik Wifi;2022
30;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POSYANDU SARTIKA 3;CIKIWUL RT.03 RW 03;Titik Wifi;2022
31;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POSYANDU SARTIKA 6;Jl. GG Saon RT.05/ 06;Titik Wifi;2022
32;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POS RONDA RT.02 RW 05;CIKIWUL RT.02 RW 05;Titik Wifi;2022
33;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POS RONDA RT.01 RW.06;Jl. Raya Narogong KM.12,5 Cikiwul;Titik Wifi;2022
